,1,2,3,4,5,6,7,8,9,10,11,12
A,#09,#09,#09,#13,#13,#13,#17,#17,#17,#29,#29,#29
B,#30,#30,#30,#33,#33,#33,#37,#37,#37,#39,#39,#39
C,#40,#40,#40,#41,#41,#41,#43,#43,#43,#49,#49,#49
D,#53,#53,#53,#54,#54,#54,#57,#57,,#60,#60,#60
E,#61,#61,#61,#62,#62,#62,#64,#64,#64,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,BLANK,BLANK,2nmol,2nmol,10nmol,10nmol,,,,,,
