Comment="Protocol name: QUICK; Date and time: 05/10/2021  15:24; Wavelength(s): 405"
ListSeparator=,
DecimalSeparator=.

0.130,0.052,0.136,0.081,0.079,0.081,0.097,0.099,0.102,0.454,0.459,0.466,
0.065,0.064,0.062,0.063,0.064,0.063,0.081,0.079,0.081,0.063,0.064,0.066,
0.064,0.067,0.063,0.064,0.064,0.067,0.063,0.063,0.064,0.075,0.074,0.076,
0.063,0.064,0.062,0.064,0.061,0.063,0.064,0.062,0.062,0.078,0.063,0.064,
0.079,0.078,0.081,0.077,0.075,0.074,0.068,0.069,0.069,0.063,0.064,0.066,
0.067,0.064,0.064,0.064,0.065,0.064,0.253,0.253,0.237,0.069,0.067,0.068,
0.045,0.045,0.047,0.065,0.065,0.064,0.075,0.072,0.068,0.069,0.067,0.068,
0.057,0.058,0.151,0.144,0.046,0.539,0.590,0.045,0.045,0.045,0.046,0.045,
