0.222,0.051,0.244,0.110,0.108,0.109,0.156,0.159,0.167,0.792,0.805,0.814,
0.065,0.064,0.063,0.064,0.064,0.064,0.115,0.113,0.117,0.064,0.065,0.066,
0.066,0.069,0.065,0.067,0.067,0.070,0.064,0.064,0.065,0.096,0.091,0.092,
0.063,0.064,0.063,0.064,0.062,0.063,0.064,0.062,0.062,0.095,0.064,0.064,
0.102,0.101,0.104,0.095,0.094,0.092,0.075,0.079,0.077,0.063,0.065,0.067,
0.067,0.064,0.064,0.065,0.065,0.067,0.511,0.512,0.496,0.078,0.076,0.077,
0.045,0.045,0.047,0.066,0.066,0.065,0.086,0.077,0.073,0.072,0.070,0.071,
0.057,0.058,0.157,0.145,0.046,0.543,0.676,0.045,0.045,0.045,0.046,0.045,
