,1,2,3,4,5,6,7,8,9,10,11,12
A,#42,#42,#42,#51,#51,#51,#63,#63,#63,#01,#01,#01
B,#22,#22,#22,#23,#23,#23,#24,#24,#24,#28,#28,#28
C,#31,#31,#31,#44,#44,#44,#46,#46,#46,#47,#47,#47
D,#50,#50,#50,#52,#52,#52,#55,#55,#55,#59,#59,#59
E,#05,#05,#05,#08,#08,#08,#12,#12,#12,#19,#19,#19
F,#25,#25,#25,#32,#32,#32,#38,#38,#38,#45,#45,#45
G,,,,#56,#56,#56,#58,#58,#58,#02,#02,#02
H,BLANK,BLANK,2nmol,2nmol,,10nmol,10nmol,,,,,
