Line Name,Replicate,Activity,str_idx,pro_idx,sec_idx,gen_idx,Corrected activity
#38,r2,0.0029210155905486034,3,12,16,22,-5.83582391818968
#39,r0,1.4980164857376784e-05,4,7,16,21,-11.108783574770415
#39,r1,1.7594276133755575e-05,4,7,16,21,-10.947936928488533
#39,r2,1e-05,4,7,16,21,-11.512925464970229
#40,r0,_,4,7,17,21,
#40,r1,_,4,7,17,21,
#40,r2,_,4,7,17,21,
#41,r0,1.2940785404475553e-05,4,8,15,20,-11.255126574869797
#41,r1,1e-05,4,8,15,20,-11.512925464970229
#41,r2,1.2236271820519594e-05,4,8,15,20,-11.311105917103829
#42,r0,0.0009993357905459389,1,9,16,21,-6.908419709121024
#42,r1,1e-05,1,9,16,21,-11.512925464970229
#42,r2,0.0010734672305220082,1,9,16,21,-6.836861466940883
#43,r0,_,4,9,17,19,
#43,r1,_,4,9,17,19,
#43,r2,_,4,9,17,19,
#44,r0,3.486958890827908e-05,2,12,18,21,-10.263895486612652
#44,r1,3.744446043469944e-05,2,12,18,21,-10.192651777908772
#44,r2,5.253473715833721e-05,2,12,18,21,-9.854035947008466
#45,r0,0.00010372126952229735,3,10,16,21,-9.173803357469977
#45,r1,8.800352719190372e-05,3,10,16,21,-9.33813366256314
#45,r2,9.157330047089296e-05,3,10,16,21,-9.298370808348022
#46,r0,1e-05,2,5,18,21,-11.512925464970229
#46,r1,1e-05,2,5,18,21,-11.512925464970229
#46,r2,1.470305591172276e-05,2,5,18,21,-11.1274552006335
#47,r0,0.000212284202703106,2,6,15,19,-8.457584602277501
#47,r1,0.00017951464664813736,2,6,15,19,-8.625253756439232
#47,r2,0.00018333031831018972,2,6,15,19,-8.604221014121881
#48,r0,_,3,12,17,20,
#48,r1,_,3,12,17,20,
#48,r2,_,3,12,17,20,
#49,r0,0.0003053135084431129,4,13,15,19,-8.094171412745974
#49,r1,0.00030648151544283007,4,13,15,19,-8.090353112912902
#49,r2,0.00026897549085322804,4,13,15,19,-8.220890294583176
#50,r0,1e-05,2,6,17,20,-11.512925464970229
#50,r1,1.944579480647922e-05,2,6,17,20,-10.847879716597964
#50,r2,1.2461701271802253e-05,2,6,17,20,-11.292850515257603
#51,r0,0.00029318492725810487,1,11,17,21,-8.134706996987711
#51,r1,0.0002939734996459026,1,11,17,21,-8.132020931947034
#51,r2,0.00028579665580010243,1,11,17,21,-8.16022999372625
#52,r0,1e-05,2,10,16,20,-11.512925464970229
#52,r1,1e-05,2,10,16,20,-11.512925464970229
#52,r2,1.0579304479816775e-05,2,10,16,20,-11.456610872842786
#53,r0,1e-05,4,8,15,19,-11.512925464970229
#53,r1,1.0215430470952578e-05,4,8,15,19,-11.491611189520183
#53,r2,2.033816638828067e-05,4,8,15,19,-10.80301131947624
#54,r0,0.00016111090515378082,4,9,18,22,-8.733417578242534
#54,r1,0.0001491156512454767,4,9,18,22,-8.810788370237397
#54,r2,0.0001544921946870494,4,9,18,22,-8.775366982727567
#55,r0,1e-05,2,9,16,21,-11.512925464970229
#55,r1,1e-05,2,9,16,21,-11.512925464970229
#55,r2,1e-05,2,9,16,21,-11.512925464970229
#56,r0,1.4677617334451442e-05,3,10,15,21,-11.129186854868577
#56,r1,2.995161060854167e-05,3,10,15,21,-10.415927458269705
#56,r2,1.3688367237692494e-05,3,10,15,21,-11.198964192563288
#57,r0,_,4,8,17,21,
#57,r1,_,4,8,17,21,
#57,r2,_,4,8,17,21,
#58,r0,0.00010877208848278896,3,12,15,19,-9.126255796134611
